year_month_day,count
2012-10-26,499439
2012-10-27,536484
2012-10-28,430478
2012-10-29,113808
2012-10-30,181706
2012-10-31,289239
2012-11-01,335121
2012-11-02,321535
2012-11-03,439274
2012-11-04,434019
2012-11-05,420930
2012-11-06,450531
2012-11-07,443551
2012-11-08,486267
2012-11-09,530408
2012-11-10,553368
2012-11-11,473452
2012-11-12,427400
2012-11-13,488583
2012-11-14,491671
2012-11-15,515282
2012-11-16,537113
2012-11-17,547382
2012-11-18,466313
2012-11-19,450665
2012-11-20,471370
2012-11-21,467989
2012-11-22,328991
2012-11-23,369154
2012-11-24,441814
2012-11-25,413434
2012-11-26,436770
2012-11-27,477516
2012-11-28,495403
2012-11-29,519636
2012-11-30,541088
2012-12-01,569805
2012-12-02,484310
2012-12-03,453814
2012-12-04,485435
2012-12-05,513344
2012-12-06,519812
2012-12-07,530731
2012-12-08,548773
2012-12-09,487840
2012-12-10,450641
2012-12-11,495098
2012-12-12,516453
2012-12-13,538650
2012-12-14,565711
2012-12-15,555458
2012-12-16,485255
2012-12-17,476358
2012-12-18,501700
2012-12-19,520247
2012-12-20,531204
2012-12-21,538664
2012-12-22,482527
2012-12-23,368789
2012-12-24,344594
2012-12-25,227615
2012-12-26,347026
2012-12-27,401642
2012-12-28,431556
2012-12-29,442861
2012-12-30,426739
2012-12-31,453958
2013-01-01,412630
2013-01-02,393001
2013-01-03,441233
2013-01-04,478437
2013-01-05,473804
2013-01-06,403667
2013-01-07,407363
2013-01-08,441778
2013-01-09,457471
2013-01-10,487949
2013-01-11,521398
2013-01-12,507429
2013-01-13,442541
2013-01-14,443650
2013-01-15,496899
2013-01-16,500065
2013-01-17,512533
2013-01-18,543734
2013-01-19,510530
2013-01-20,459393
2013-01-21,384614
2013-01-22,496005
2013-01-23,520520
2013-01-24,533039
2013-01-25,537188
2013-01-26,557203
2013-01-27,470833
2013-01-28,450789
2013-01-29,477382
2013-01-30,482378
2013-01-31,531161
2013-02-01,567076
2013-02-02,569777
2013-02-03,472623
2013-02-04,457093
2013-02-05,482637
2013-02-06,506443
2013-02-07,535105
2013-02-08,432643
2013-02-09,392006
2013-02-10,459612
2013-02-11,458947
2013-02-12,503963
2013-02-13,524250
2013-02-14,527476
2013-02-15,537129
2013-02-16,542291
2013-02-17,506209
2013-02-18,407104
2013-02-19,456383
2013-02-20,512507
2013-02-21,538079
2013-02-22,558738
2013-02-23,584812
2013-02-24,474783
2013-02-25,451955
2013-02-26,496612
2013-02-27,509033
2013-02-28,524890
2013-03-01,564492
2013-03-02,584654
2013-03-03,493312
2013-03-04,466591
2013-03-05,493815
2013-03-06,518309
2013-03-07,538316
2013-03-08,545587
2013-03-09,562200
2013-03-10,468337
2013-03-11,451483
2013-03-12,494922
2013-03-13,514843
2013-03-14,552660
2013-03-15,559360
2013-03-16,574056
2013-03-17,493734
2013-03-18,458062
2013-03-19,477028
2013-03-20,493779
2013-03-21,505003
2013-03-22,548247
2013-03-23,553332
